OI_c,CHNG_IN_OI_c,VOLUME_c,IV_c,LTP_c,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG_IN_OI,OI
113,43,757,-,700.65,132,75,698.9,701,75,"24,050.00",-,-,0.05,"4,050",-2.7,0.05,17.59,"5,23,242","7,049","27,685"
421,-117,"3,234",-,651.25,130.1,300,650,651.45,75,"24,100.00",-,-,0.05,"3,30,750",-3.25,0.05,16.43,"11,59,542","1,036","44,954"
188,44,"2,054",-,602.4,132.9,75,599.15,602.35,75,"24,150.00",-,-,0.05,"78,300",-4,0.05,15.26,"8,40,025","3,324","25,867"
579,-908,"12,648",-,551.85,127.65,300,551,551.45,75,"24,200.00",-,-,0.05,"3,06,300",-5.3,0.05,14.09,"18,95,902","1,898","65,837"
171,-162,"5,411",-,501.15,127.9,75,500.15,501.35,75,"24,250.00",-,-,0.05,"2,73,225",-6.7,0.05,12.91,"14,52,653","13,731","38,910"
"1,342","-2,357","32,716",-,450.1,123.6,150,450.1,450.95,75,"24,300.00",-,-,0.05,"1,16,250",-8.85,0.05,11.73,"20,97,439","-10,598","50,519"
558,-581,"18,114",-,400.05,119.65,675,400.05,400.85,150,"24,350.00",-,-,0.05,"2,43,600",-12.2,0.05,10.54,"20,70,053","1,826","32,240"
"3,696","-3,364","1,07,564",-,350.1,114.65,375,349.75,351,"1,050","24,400.00",-,-,0.05,"4,53,675",-17.15,0.05,9.34,"32,43,437","-19,013","53,047"
"1,442","-3,765","99,743",-,300.2,106.65,525,300.3,301.35,75,"24,450.00",-,-,0.05,"4,90,875",-24.35,0.05,8.14,"37,28,144",-492,"33,231"
"21,315","-20,621","7,33,095",-,250.3,96.4,150,250.3,250.85,525,"24,500.00",-,-,0.05,"2,40,900",-34.85,0.05,6.92,"67,49,272","-23,092","94,103"
"13,503","-22,731","6,68,267",-,200.4,81.4,600,200.4,201,525,"24,550.00",-,-,0.05,"1,65,300",-50.35,0.05,5.68,"57,88,390","7,785","65,954"
"36,649","-1,02,004","32,38,022",-,150.55,60.7,225,150.7,150.95,300,"24,600.00",-,-,0.05,"8,54,100",-71.1,0.05,4.43,"1,21,25,787","9,211","1,37,559"
"22,279","-39,877","45,57,563",-,100.75,31.4,"11,100",100.75,100.95,300,"24,650.00",-,-,0.05,"47,475",-99.6,0.05,3.14,"1,35,91,124","56,833","83,307"
"84,880","-34,262","1,49,24,812",-,50.85,-2.7,"4,950",50.85,50.95,"1,800","24,700.00",-,-,0.05,"4,32,225",-134.1,0.05,1.8,"2,24,60,409","1,20,776","1,74,989"
"2,77,166","2,23,170","2,61,85,681",-,0.95,-40.45,"3,29,400",0.9,0.95,"64,950","24,750.00",-,-,0.05,"2,10,225",-172.55,0.05,0.32,"1,70,71,148","1,51,054","1,66,654"
"2,17,308","93,481","2,05,87,356",1.37,0.05,-31.75,-,-,0.05,"6,36,900","24,800.00","2,39,775",48.95,49.2,225,-163.6,48.95,4.15,"77,45,172","31,793","58,797"
"1,09,775","65,310","1,23,16,036",2.72,0.05,-24.3,-,-,0.05,"7,27,200","24,850.00","2,625",98.6,99.4,600,-157.8,98.6,6.66,"24,44,664","13,622","21,744"
"1,03,364","18,758","1,25,37,379",4.01,0.05,-18.5,-,-,0.05,"4,53,150","24,900.00","26,850",148.8,149.2,675,-149.8,148.8,9.07,"15,66,833","9,216","21,397"
"51,353","13,237","85,37,417",5.26,0.05,-14.05,-,-,0.05,"1,32,900","24,950.00",900,198.7,199.4,900,-147.35,198.7,11.55,"3,14,661",527,"2,354"
"1,37,534","-47,185","1,29,45,073",6.48,0.05,-10.7,-,-,0.05,"7,26,750","25,000.00",75,248.8,249.45,300,-142.9,249.45,13.72,"4,99,590","-5,101","7,319"
"51,229","4,604","63,99,266",7.67,0.05,-7.9,-,-,0.05,"2,71,950","25,050.00",600,298.4,299.35,525,-144.15,298.45,15.24,"48,286",-174,563
"93,508","-13,662","63,13,712",8.85,0.05,-6.05,-,-,0.05,"4,17,975","25,100.00",150,348.65,349,525,-140.25,348.7,17.36,"50,160",-146,"2,723"
"40,057","-8,546","31,82,340",10.01,0.05,-4.45,-,-,0.05,"74,025","25,150.00",750,398.5,399,75,-142,398.75,19.33,"9,807",-58,291
"92,462","-28,167","41,41,896",11.16,0.05,-3.45,-,-,0.05,"4,10,325","25,200.00",600,448.65,449.75,150,-137.05,448.65,21.17,"22,765",-563,"1,417"
"55,615","2,056","20,53,089",12.3,0.05,-2.7,-,-,0.05,"2,71,425","25,250.00",75,497.55,500,225,-139.6,497.55,22.19,"2,562",-8,164
"86,275","-18,489","23,36,989",13.43,0.05,-2.2,-,-,0.05,"6,53,850","25,300.00",75,548.5,550,225,-137.45,548.3,24.59,"5,293",-490,420
"36,809","-8,673","10,37,511",14.55,0.05,-1.85,-,-,0.05,"3,15,900","25,350.00",75,597.1,600.15,75,-138.3,597.15,27.7,976,17,200
"86,456","-42,817","12,89,277",15.66,0.05,-1.45,-,-,0.05,"4,40,850","25,400.00",150,647.05,651.35,150,-137.25,650.2,29.68,"2,197",-269,299
"20,914","-9,552","4,58,120",16.76,0.05,-1.35,-,-,0.05,"21,225","25,450.00","14,400",692.35,762.05,"1,725",-127.25,704.7,34.56,353,5,106
"1,22,043","-83,288","16,72,370",17.85,0.05,-1.3,-,-,0.05,"2,30,400","25,500.00",75,748.3,749.7,75,-131.6,748.9,32.19,"4,181",-992,"1,349"
"18,404","-10,701","3,21,648",18.94,0.05,-1.15,-,-,0.1,"18,000","25,550.00",75,795.75,801.7,75,-129.1,800.4,35.22,316,18,84
"54,921","-43,749","4,73,868",20.02,0.05,-1.05,-,-,0.05,"13,650","25,600.00",150,846.75,850.5,75,-134.65,849.7,36.37,699,-149,125
"21,650","-8,677","2,16,079",21.09,0.05,-1,-,-,0.05,"51,000","25,650.00",75,897,900.85,75,-122.75,898.65,37.09,260,-,79
"45,108","-29,138","4,02,337",22.15,0.05,-0.9,-,-,0.05,"1,41,150","25,700.00",75,946.45,951.9,75,-124.1,949.6,39.71,582,-29,176
"17,927","-8,641","1,79,808",23.22,0.05,-0.8,-,-,0.05,"1,06,575","25,750.00",75,995.55,"1,002.00",75,-138.55,999.15,40.96,267,-9,30
"50,244","-21,832","2,67,394",24.27,0.05,-0.8,-,-,0.05,"65,625","25,800.00",150,"1,048.45","1,051.90",75,-136.8,"1,049.65",43.14,556,-140,105
"11,065","-8,131","1,07,357",25.32,0.05,-0.75,-,-,0.05,"47,175","25,850.00","1,725",900.15,"1,153.80","1,725",-,"1,268.50",-,-,-,21
"32,830","-9,413","2,61,275",26.36,0.05,-0.7,-,-,0.05,"50,700","25,900.00",300,951.5,"1,228.25","1,725",-170.8,"1,160.45",55.09,177,-5,79
"8,870",-692,"1,25,622",27.4,0.05,-0.65,-,-,0.05,"53,475","25,950.00","1,725",994.45,"1,255.35","1,725",-,"1,135.50",-,-,-,22
"66,936","-42,324","3,91,904",28.44,0.05,-0.7,-,-,0.05,"81,750","26,000.00",75,"1,240.90","1,255.00",525,-137.05,"1,245.30",49.46,"1,027",-321,738
"7,608","-2,440","92,206",29.47,0.05,-0.6,-,-,0.05,"26,775","26,050.00",150,"1,167.05","1,383.25","1,725",-15.1,"1,316.35",64.31,29,-1,13
"14,769","-15,236","1,67,353",30.49,0.05,-0.65,-,-,0.05,"1,42,050","26,100.00","1,725","1,127.85","1,406.00","1,725",54.7,"1,359.85",61.94,174,2,13
"5,481","-2,340","52,046",31.51,0.05,-0.65,-,-,0.05,"6,750","26,150.00","1,725","1,177.45","1,458.50","1,725",37.25,"1,417.25",68.58,32,3,18
"15,599","-9,242","1,37,839",32.53,0.05,-0.6,-,-,0.05,"2,700","26,200.00",225,"1,444.75","1,452.55",75,-137.9,"1,451.15",57.87,22,-,119
"11,278","5,564","55,702",33.54,0.05,-0.6,-,-,0.05,"8,175","26,250.00",150,"1,276.90","1,570.00",150,-,"1,784.35",-,-,-,13
"25,548",-480,"1,73,188",34.55,0.05,-0.55,-,-,0.05,"4,425","26,300.00",150,"1,317.05","1,552.35",75,-221,"1,567.15",74.03,15,-2,13
"6,073",-19,"42,218",35.55,0.05,-0.6,-,-,0.05,"3,300","26,350.00","1,725","1,391.65","1,661.25","1,725",-,"1,681.50",-,-,-,10
"10,771","-5,345","71,498",36.55,0.05,-0.5,-,-,0.05,"9,075","26,400.00",150,"1,450.10","1,712.75",150,103,"1,668.00",78.2,10,-1,15
"8,657",-641,"44,049",37.55,0.05,-0.55,-,-,0.05,"10,050","26,450.00",150,"1,483.20","1,768.10",150,-,"1,631.65",-,-,-,13
"40,027","-29,905","2,35,464",38.54,0.05,-0.5,-,-,0.05,"42,000","26,500.00","1,725","1,500.60","1,753.10",75,-117.8,"1,751.40",67.72,277,-149,70
"5,244","-4,492","40,448",39.53,0.05,-0.55,-,-,0.1,"20,400","26,550.00","1,725","1,582.40","1,864.65","1,725",-,"1,750.95",-,-,-,10
"12,858","-1,486","61,866",40.52,0.05,-0.5,-,-,0.05,"5,250","26,600.00","1,725","1,598.00","1,916.45","1,725",-,"1,798.75",-,-,-,12
"4,414","-1,102","39,474",41.5,0.05,-0.55,-,-,0.05,"8,625","26,650.00","1,725","1,651.00","1,977.45","1,725",-,"1,848.55",-,-,-,11
"42,694","1,945","1,21,460",42.48,0.05,-0.55,-,-,0.05,450,"26,700.00","1,725","1,675.95","2,018.70","1,725",-,"1,901.05",-,-,-,9
"11,825","-4,050","68,306",43.45,0.05,-0.5,-,-,0.05,900,"26,750.00","1,725","1,755.45","2,072.75","1,725",-66.1,"2,053.90",110.37,7,-,12
"1,48,782","21,092","4,83,237",44.42,0.05,-0.5,-,-,0.05,"5,100","26,800.00","1,725","1,785.00","2,135.65","1,725",15.55,"2,066.15",90.95,72,-31,35
